estimated_nights_booked,price,minimum_nights,calculated_host_listings_count,estimated_nights_booked_binary,room_type_Hotel room,room_type_Private room,room_type_Shared room,latitude,longitude
41.99999999999999,30.0,5,6,0,0.0,1.0,0.0,,
96.48,85.0,1,1,1,0.0,1.0,0.0,,
14.88,20.0,2,2,0,0.0,0.0,1.0,,
677.04,44.0,91,1,1,0.0,0.0,0.0,,
143.28,121.0,3,2,1,0.0,0.0,0.0,,
12.48,48.0,2,1,0,0.0,1.0,0.0,,
36.0,70.0,2,2,0,0.0,1.0,0.0,,
986.4,250.0,30,36,1,0.0,0.0,0.0,,
35.28,129.0,7,3,0,0.0,0.0,0.0,,
72.0,166.0,6,1,1,0.0,0.0,0.0,,
8.16,190.0,2,34,0,0.0,0.0,0.0,,
88.79999999999998,65.0,5,15,1,0.0,1.0,0.0,,
3.36,735.0,7,1,0,0.0,0.0,0.0,,
49.2,60.0,1,1,1,0.0,1.0,0.0,,
27.84,195.0,2,1,0,0.0,0.0,0.0,,
8.64,155.0,2,1,0,0.0,0.0,0.0,,
7.200000000000001,297.0,3,1,0,0.0,0.0,0.0,,
251.99999999999997,35.0,30,2,1,0.0,1.0,0.0,,
165.6,103.0,3,1,1,0.0,1.0,0.0,,
30.24,650.0,7,1,0,0.0,0.0,0.0,,
20.160000000000004,241.0,3,3,0,0.0,0.0,0.0,,
5.76,150.0,1,1,0,0.0,1.0,0.0,,
23.52,60.0,1,1,0,0.0,1.0,0.0,,
22.8,127.0,1,29,0,0.0,0.0,0.0,,
719.9999999999999,18.0,200,2,1,0.0,1.0,0.0,,
37.44,57.0,6,1,0,0.0,1.0,0.0,,
152.88,222.0,7,15,1,0.0,0.0,0.0,,
30.72,48.0,2,2,0,0.0,1.0,0.0,,
11.52,1247.0,1,11,0,0.0,0.0,0.0,,
123.6,85.0,5,1,1,0.0,1.0,0.0,,
33.84,100.0,3,1,0,0.0,1.0,0.0,,
120.24,59.0,3,3,1,0.0,1.0,0.0,,
105.12,45.0,3,1,1,0.0,1.0,0.0,,
11.760000000000002,350.0,7,3,0,0.0,0.0,0.0,,
27.360000000000003,143.0,6,3,0,0.0,0.0,0.0,,
54.0,80.0,5,26,1,0.0,0.0,0.0,,
317.52000000000004,135.0,21,26,1,0.0,0.0,0.0,,
12.24,75.0,3,4,0,0.0,1.0,0.0,,
10.080000000000002,150.0,3,4,0,0.0,1.0,0.0,,
82.32,129.0,7,1,1,0.0,0.0,0.0,,
2.4,199.0,10,3,0,0.0,0.0,0.0,,
94.32,460.0,3,4,1,0.0,0.0,0.0,,
12.48,150.0,1,2,0,0.0,1.0,0.0,,
1.92,325.0,1,1,0,0.0,0.0,0.0,,
12.48,46.0,1,1,0,0.0,1.0,0.0,,
66.96000000000001,62.0,1,1,1,0.0,0.0,0.0,,
25.2,131.0,3,6,0,0.0,0.0,0.0,,
57.12,60.0,1,13,1,0.0,1.0,0.0,,
